Cost is: 0.0 | 0 to 1
Cost is: 138.70934086537315 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29
Cost is: 131.00973089069447 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30
Cost is: 161.00973089069447 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31
Cost is: 129.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32
Cost is: 161.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33
Cost is: 151.48686830125578 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34
Cost is: 185.48686830125578 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35
Cost is: 155.58797503894243 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36
Cost is: 191.58797503894243 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37
Cost is: 180.2399477684089 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38
Cost is: 218.2399477684089 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39
Cost is: 175.26748332105768 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40
Cost is: 215.26748332105768 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41
Cost is: 202.0675873016644 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42
Cost is: 244.0675873016644 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43
Cost is: 204.77088388946765 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44
Cost is: 248.77088388946765 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45
Cost is: 233.7053132687584 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46
Cost is: 279.7053132687584 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47
Cost is: 221.32331253245204 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48
Cost is: 269.32331253245206 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49
Cost is: 252.38061725951238 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50
Cost is: 302.3806172595124 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51
Cost is: 253.58181151399302 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52
Cost is: 305.581811513993 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53
Cost is: 286.75234140073826 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54
Cost is: 340.75234140073826 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55
Cost is: 273.31527868298605 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56
Cost is: 329.31527868298605 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57
Cost is: 308.59078972407275 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58
Cost is: 366.59078972407275 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59
Cost is: 308.21644875895004 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60
Cost is: 368.21644875895004 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61
Cost is: 345.58981651268766 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62
Cost is: 407.58981651268766 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63
Cost is: 321.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64
Cost is: 385.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65
Cost is: 360.465005938829 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66
Cost is: 426.465005938829 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67
Cost is: 358.4606049037674 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68
Cost is: 426.4606049037674 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69
Cost is: 400.0117738943296 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70
Cost is: 470.0117738943296 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71
Cost is: 377.70527509086565 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72
Cost is: 449.70527509086565 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73
Cost is: 421.33774956721356 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74
Cost is: 495.33774956721356 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75
Cost is: 417.66119327926515 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76
Cost is: 493.66119327926515 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77
Cost is: 463.37063430403657 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78
Cost is: 541.3706343040366 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79
Cost is: 428.14460711655215 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80
Cost is: 508.14460711655215 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81
Cost is: 475.9271155103991 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82
Cost is: 557.9271155103991 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83
Cost is: 470.54491905837233 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84
Cost is: 554.5449190583723 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85
Cost is: 520.3969717538546 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86
Cost is: 606.3969717538546 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87
Cost is: 488.98587510950875 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88
Cost is: 576.9858751095087 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89
Cost is: 540.9042732243031 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90
Cost is: 630.9042732243031 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91
Cost is: 533.789163247381 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92
Cost is: 625.789163247381 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93
Cost is: 587.7709892976073 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94
Cost is: 681.7709892976073 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95
Cost is: 537.4015125670676 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96
Cost is: 633.4015125670676 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97
Cost is: 593.4440948940972 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98
Cost is: 691.4440948940972 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99
Cost is: 584.5734267482486 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100
Cost is: 684.5734267482486 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101
Cost is: 642.6743097000588 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102
Cost is: 744.6743097000588 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 103
Cost is: 602.0046768573299 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104
Cost is: 706.0046768573299 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 105
Cost is: 662.1615956058426 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106
Cost is: 768.1615956058426 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 107
Cost is: 651.5162665175656 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108
Cost is: 759.5162665175656 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 109
Cost is: 713.7271256445945 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110
Cost is: 823.7271256445945 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 111
Cost is: 654.5271543182118 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112
Cost is: 766.5271543182118 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 113
Cost is: 718.7900094903764 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114
Cost is: 832.7900094903764 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 115
Cost is: 706.353687441472 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116
Cost is: 822.353687441472 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 117
Cost is: 772.6667296364215 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118
Cost is: 890.6667296364215 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 119
Cost is: 722.6298844954612 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120
Cost is: 842.6298844954612 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 121
Cost is: 790.9914263502861 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122
Cost is: 912.9914263502861 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 123
Cost is: 776.749987756674 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124
Cost is: 900.749987756674 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 125
Cost is: 847.1584516931824 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126
Cost is: 973.1584516931824 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 127
Cost is: 769.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128
Cost is: 897.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 129
Cost is: 841.4539078468495 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130
Cost is: 971.4539078468495 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 131
Cost is: 825.3950178164869 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132
Cost is: 957.3950178164869 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 133
Cost is: 899.8929816994997 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134
Cost is: 1033.8929816994996 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 135
Cost is: 840.4080781087905 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136
Cost is: 976.4080781087905 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 137
Cost is: 916.9487924214611 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138
Cost is: 1054.9487924214611 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 139
Cost is: 899.0615850804774 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140
Cost is: 1039.0615850804775 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 141
Cost is: 977.6438193791621 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142
Cost is: 1119.643819379162 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 143
Cost is: 893.9398751947122 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144
Cost is: 1037.9398751947122 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 145
Cost is: 974.562467889107 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146
Cost is: 1120.562467889107 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 147
Cost is: 954.8372986237559 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148
Cost is: 1102.837298623756 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 149
Cost is: 1037.4991513544046 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150
Cost is: 1187.4991513544046 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 151
Cost is: 968.5036843009777 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152
Cost is: 1120.5036843009777 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 153
Cost is: 1053.2037569127726 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154
Cost is: 1207.2037569127726 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 155
Cost is: 1031.632007375292 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156
Cost is: 1187.632007375292 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 157
Cost is: 1118.3693134100276 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158
Cost is: 1276.3693134100276 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 159
Cost is: 1013.8988547075411 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160
Cost is: 1173.898854707541 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 161
Cost is: 1102.6724573502067 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162
Cost is: 1264.6724573502067 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 163
Cost is: 1079.2463798890822 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164
Cost is: 1243.2463798890822 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 165
Cost is: 1170.0553883121938 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166
Cost is: 1336.0553883121938 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 167
Cost is: 1091.4995825717883 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168
Cost is: 1259.4995825717883 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 169
Cost is: 1184.343148630077 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170
Cost is: 1354.343148630077 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 171
Cost is: 1159.055740658235 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172
Cost is: 1331.055740658235 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 173
Cost is: 1253.933055892694 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174
Cost is: 1427.933055892694 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 175
Cost is: 1145.415857549591 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176
Cost is: 1321.415857549591 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 177
Cost is: 1242.3261504655181 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178
Cost is: 1420.3261504655181 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 179
Cost is: 1215.171051893974 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180
Cost is: 1395.171051893974 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 181
Cost is: 1314.1135854823845 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182
Cost is: 1496.1135854823845 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 183
Cost is: 1225.9568632046262 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184
Cost is: 1409.9568632046262 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 185
Cost is: 1326.930932680428 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186
Cost is: 1512.930932680428 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 187
Cost is: 1297.9023413553052 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188
Cost is: 1485.9023413553052 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 189
Cost is: 1400.9072720890474 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190
Cost is: 1590.9072720890474 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 191
Cost is: 1265.5579126362986 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192
Cost is: 1457.5579126362986 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 193
Cost is: 1370.593058259219 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194
Cost is: 1564.593058259219 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 195
Cost is: 1339.6856596173877 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196
Cost is: 1535.6856596173877 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 197
Cost is: 1446.7504002819787 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198
Cost is: 1644.7504002819787 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 199
Cost is: 1348.9590457257211 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200
Cost is: 1548.9590457257211 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 201
Cost is: 1458.05278650618 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202
Cost is: 1660.05278650618 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 203
Cost is: 1425.2616945811512 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204
Cost is: 1629.2616945811512 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 205
Cost is: 1536.3838639999303 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 103 to 206
Cost is: 1742.3838639999303 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 103 to 206 to 207
Cost is: 1402.8504075440032 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 208
Cost is: 1610.8504075440032 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 208 to 209
Cost is: 1516.0004562122726 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 105 to 210
Cost is: 1726.0004562122726 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 105 to 210 to 211
Cost is: 1481.3211637895417 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 212
Cost is: 1693.3211637895417 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 212 to 213
Cost is: 1596.4985631507652 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 107 to 214
Cost is: 1810.4985631507652 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 107 to 214 to 215
Cost is: 1489.0441167512204 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 216
Cost is: 1705.0441167512204 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 216 to 217
Cost is: 1606.2483579182503 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 109 to 218
Cost is: 1824.2483579182503 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 109 to 218 to 219
Cost is: 1569.6766941323071 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 220
Cost is: 1789.6766941323071 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 220 to 221
Cost is: 1688.9072868094563 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 111 to 222
Cost is: 1910.9072868094563 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 111 to 222 to 223
Cost is: 1528.9509055886633 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 224
Cost is: 1752.9509055886633 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 224 to 225
Cost is: 1650.2073770711281 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 113 to 226
Cost is: 1876.2073770711281 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 113 to 226 to 227
Cost is: 1611.739471105157 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 228
Cost is: 1839.739471105157 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 228 to 229
Cost is: 1735.0213653489795 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 115 to 230
Cost is: 1965.0213653489795 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 115 to 230 to 231
Cost is: 1617.8794828762702 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 232
Cost is: 1849.8794828762702 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 232 to 233
Cost is: 1743.1863596327303 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 117 to 234
Cost is: 1977.1863596327303 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 117 to 234 to 235
Cost is: 1702.8186094611187 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 236
Cost is: 1938.8186094611187 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 236 to 237
Cost is: 1830.1500434700667 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 119 to 238
Cost is: 2068.1500434700665 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 119 to 238 to 239
Cost is: 1671.4567559684833 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 240
Cost is: 1911.4567559684833 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 240 to 241
Cost is: 1800.8123362056872 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 121 to 242
